FirstName;LastName;BirthDate;Gender;Email;PhoneNumber;Street;HouseNumber;ZipCode;City;Country;Notes;CreatedAt;IsActive
"Brittany";"Stewart";"1981-01-07";"Unknown";"brittany.stewart@example.com";"+1 418 150 7897";"Cambridge Road";"52";"29819";"North Las Vegas";"Kazakhstan";"Generated test data";"2025-05-02";"True";
"Brenda";"Watson";"1951-07-02";"Female";"brenda.watson@example.com";"+1 580 151 8923";"Park Avenue";"158C";"67351";"Chula Vista";"United Arab Emirates";"Generated test data";"2025-04-19";"True";
"Barbara";"Lewis";"1987-02-08";"Male";"barbara.lewis@example.com";"+1 545 839 2030";"Clark Street";"160";"30897";"Jacksonville";"United Arab Emirates";"Generated test data";"2025-08-10";"False";
"Alexander";"Adams";"1975-07-02";"Diverse";"alexander.adams@example.com";"+1 172 965 6203";"Union Street";"3A";"66188";"Washington";"Italy";"Generated test data";"2025-03-15";"False";
"Elizabeth";"Mitchell";"1971-04-27";"Diverse";"elizabeth.mitchell@example.com";"+1 158 741 9371";"Tower Road";"1C";"36267";"Reno";"Finland";"Generated test data";"2025-08-07";"False";
"Maria";"Harris";"1968-09-11";"Male";"maria.harris@example.com";"+1 227 672 4480";"Jackson Street";"49C";"47168";"Omaha";"Philippines";"Generated test data";"2024-12-12";"True";
"Hannah";"Howard";"1958-03-06";"Female";"hannah.howard@example.com";"+1 941 963 2904";"Wilson Street";"122C";"31082";"Wichita";"Bahamas";"Generated test data";"2025-02-18";"False";
"Lauren";"Ramos";"1960-03-15";"Female";"lauren.ramos@example.com";"+1 651 834 9134";"Maple Avenue";"78";"25878";"Los Angeles";"Sri Lanka";"Generated test data";"2025-01-12";"False";
"Linda";"Clark";"1973-05-15";"Male";"linda.clark@example.com";"+1 332 174 8475";"Queen Street";"76";"30019";"Madison";"Syria";"Generated test data";"2025-03-06";"False";
"Megan";"Garcia";"1986-08-01";"Diverse";"megan.garcia@example.com";"+1 196 170 3087";"Oak Street";"5";"57835";"San Jose";"Venezuela";"Generated test data";"2025-03-19";"False";
"Jennifer";"Foster";"1952-01-23";"Diverse";"jennifer.foster@example.com";"+1 405 442 9075";"Brown Avenue";"53A";"99352";"Boise";"Guatemala";"Generated test data";"2025-02-01";"False";
"Robert";"Hill";"1968-05-19";"Unknown";"robert.hill@example.com";"+1 406 594 1293";"Duke Street";"194";"32727";"Memphis";"Cuba";"Generated test data";"2025-07-06";"False";
"Brandon";"Cooper";"1968-08-20";"Male";"brandon.cooper@example.com";"+1 224 814 6431";"Circle Drive";"141B";"43085";"Tucson";"New Zealand";"Generated test data";"2024-11-04";"True";
"Jacob";"Edwards";"1973-10-03";"Male";"jacob.edwards@example.com";"+1 641 319 3409";"Elm Street";"196";"89538";"Washington";"Poland";"Generated test data";"2024-12-11";"True";
"Helen";"Reed";"1955-09-23";"Male";"helen.reed@example.com";"+1 309 660 3943";"Eighth Street";"61";"75830";"Boise";"Andorra";"Generated test data";"2025-07-05";"True";
"Kevin";"Ortiz";"1953-07-10";"Female";"kevin.ortiz@example.com";"+1 549 721 2437";"Willow Lane";"86B";"67542";"San Antonio";"Malaysia";"Generated test data";"2024-10-20";"True";
"Paul";"Ortiz";"1969-02-03";"Female";"paul.ortiz@example.com";"+1 475 372 3079";"Valley Road";"180";"96295";"Irving";"Jordan";"Generated test data";"2025-07-31";"False";
"Frank";"Myers";"1988-04-12";"Unknown";"frank.myers@example.com";"+1 118 765 6296";"Cornell Road";"164";"96945";"Austin";"USA";"Generated test data";"2025-06-03";"False";
"Benjamin";"Lopez";"1988-06-05";"Unknown";"benjamin.lopez@example.com";"+1 676 168 2095";"Smith Road";"89";"82161";"San Diego";"Iceland";"Generated test data";"2025-04-06";"False";
"Helen";"Ramos";"1991-10-23";"Unknown";"helen.ramos@example.com";"+1 596 410 1484";"Baker Street";"93B";"27318";"Anaheim";"Cuba";"Generated test data";"2025-05-30";"False";
"Hannah";"Flores";"1957-12-29";"Unknown";"hannah.flores@example.com";"+1 616 514 9548";"Johnson Avenue";"137C";"24509";"Laredo";"Canada";"Generated test data";"2024-10-26";"False";
"Julie";"Ramirez";"1961-12-11";"Diverse";"julie.ramirez@example.com";"+1 280 633 3441";"School Street";"34";"57209";"Miami";"Peru";"Generated test data";"2025-08-09";"True";
"Chloe";"King";"1996-05-16";"Female";"chloe.king@example.com";"+1 883 497 1546";"Taylor Avenue";"104A";"73101";"Garland";"Philippines";"Generated test data";"2025-01-18";"False";
"Scott";"Bennett";"1999-03-23";"Diverse";"scott.bennett@example.com";"+1 366 734 8537";"Lakeview Drive";"56";"37248";"Fort Wayne";"Czech Republic";"Generated test data";"2024-08-22";"False";
"Emily";"Alvarez";"1962-02-04";"Male";"emily.alvarez@example.com";"+1 734 148 4761";"Tower Road";"14";"79612";"Orlando";"Kazakhstan";"Generated test data";"2025-07-20";"True";
"Charles";"Allen";"1972-04-09";"Unknown";"charles.allen@example.com";"+1 417 292 9443";"Duke Street";"83";"52663";"Boise";"Paraguay";"Generated test data";"2025-05-16";"False";
"Edward";"Watson";"2005-04-22";"Unknown";"edward.watson@example.com";"+1 541 477 7106";"Princeton Street";"184A";"76523";"Riverside";"India";"Generated test data";"2024-12-18";"False";
"Nancy";"Perez";"1977-12-16";"Diverse";"nancy.perez@example.com";"+1 283 574 4611";"Union Street";"3A";"26372";"Memphis";"Ecuador";"Generated test data";"2025-02-19";"True";
"Ruth";"Martinez";"1963-09-07";"Unknown";"ruth.martinez@example.com";"+1 305 808 5599";"Hawthorn Lane";"172";"68658";"Jersey City";"Russia";"Generated test data";"2025-05-27";"False";
"George";"Rodriguez";"1973-08-05";"Female";"george.rodriguez@example.com";"+1 220 789 5042";"Wilson Street";"14";"86747";"Portland";"Tajikistan";"Generated test data";"2024-11-26";"False";
"Carolyn";"Lewis";"2001-07-04";"Unknown";"carolyn.lewis@example.com";"+1 504 420 5007";"Roosevelt Street";"18";"57042";"Mesa";"Cuba";"Generated test data";"2025-05-03";"True";
"Brittany";"Perez";"1997-11-21";"Diverse";"brittany.perez@example.com";"+1 745 404 4703";"Lincoln Street";"51B";"97972";"Wichita";"Japan";"Generated test data";"2025-07-01";"False";
"Ryan";"Brooks";"1991-02-26";"Unknown";"ryan.brooks@example.com";"+1 983 195 2027";"College Avenue";"18B";"87050";"Saint Paul";"Greece";"Generated test data";"2025-08-02";"True";
"Charles";"Kim";"1967-12-15";"Male";"charles.kim@example.com";"+1 582 269 7299";"Jefferson Street";"4";"76898";"Boston";"Japan";"Generated test data";"2025-04-11";"True";
"Benjamin";"Diaz";"1969-02-10";"Male";"benjamin.diaz@example.com";"+1 302 970 1017";"Polk Street";"91A";"55246";"Madison";"Venezuela";"Generated test data";"2025-03-17";"False";
"Gregory";"Young";"1981-05-27";"Male";"gregory.young@example.com";"+1 351 984 6750";"Water Street";"109A";"87275";"St. Petersburg";"Pakistan";"Generated test data";"2025-03-17";"True";
